,orbs_ratio,number_of_matches,number_good_matches,hamming_dct_post_resize_and_gray,descriptors_generation_time(ns),matcher_computation_time(ns)
819,0.5105263157894737,380,194,10,15625000,15625000
820,0.019559902200488997,382,8,34,0,0
821,1.0,403,403,0,0,0
822,1.0,398,398,0,15625000,15625000
823,0.5149253731343284,400,207,10,0,0
824,1.0,379,379,0,0,0
825,1.0,419,419,0,15625000,15625000
826,1.0,401,401,0,0,0
827,0.16180371352785147,334,61,26,0,0
828,1.0,411,411,0,0,0
829,0.8033573141486811,417,335,0,0,125000000
830,0.03561643835616438,298,13,26,0,125000000
831,0.5584795321637427,342,191,4,0,0
832,0.02517162471395881,427,11,38,15625000,15625000
833,0.03787878787878788,380,15,28,0,0
834,0.5868544600938967,426,250,8,0,125000000
835,0.627906976744186,430,270,4,15625000,15625000
836,0.009501187648456057,418,4,30,0,0
837,1.0,427,427,0,0,0
838,0.8384074941451991,427,358,0,0,0
839,0.3995381062355658,433,173,6,0,0
840,1.0,314,314,0,0,125000000
841,0.8950617283950617,324,290,0,0,0
842,0.8633257403189066,439,379,0,0,0
843,0.7089552238805971,402,285,0,15625000,15625000
844,0.8113207547169812,420,344,0,0,0
845,1.0,391,391,0,0,0
846,1.0,415,415,0,0,0
847,1.0,283,283,0,15625000,15625000
848,0.4221698113207547,420,179,8,0,0
849,0.576036866359447,434,250,12,0,0
850,0.4845605700712589,421,204,10,15625000,15625000
851,1.0,412,412,0,0,0
852,1.0,390,390,0,0,0
853,1.0,414,414,0,15625000,15625000
854,0.016666666666666666,420,7,24,15625000,15625000
855,0.015945330296127564,439,7,34,0,0
856,1.0,403,403,0,15625000,15625000
857,0.5584795321637427,342,191,4,0,0
858,0.08237986270022883,437,36,18,0,0
859,1.0,195,195,0,0,0
860,0.009259259259259259,432,4,30,0,0
861,0.2678983833718245,433,116,12,0,125000000
862,0.6919191919191919,396,274,2,15625000,15625000
863,0.8222996515679443,285,236,0,0,0
864,0.773972602739726,435,339,0,0,0
865,1.0,425,425,0,0,0
866,0.31265508684863524,399,126,14,15625000,15625000
867,0.8677685950413223,363,315,0,0,0
868,1.0,437,437,0,0,0
869,0.0,242,0,34,0,0
870,0.0071090047393364926,422,3,30,0,0
871,0.07368421052631578,334,28,24,0,125000000
872,0.8719806763285024,414,361,0,15625000,15625000
873,0.3640661938534279,423,154,20,0,0
874,0.7785234899328859,445,348,0,15625000,15625000
875,0.7292307692307692,325,237,0,0,0
876,0.004739336492890996,405,2,38,0,0
877,0.508557457212714,407,208,8,15625000,15625000
878,0.0025252525252525255,396,1,42,0,125000000
879,0.3854875283446712,435,170,10,0,0
880,0.35933806146572106,423,152,20,0,0
881,1.0,420,420,0,15625000,15625000
882,0.0045871559633027525,436,2,30,0,0
883,1.0,416,416,0,0,0
884,0.47073170731707314,410,193,12,0,0
885,0.27450980392156865,387,112,8,0,0
886,1.0,403,403,0,0,0
887,0.014749262536873156,324,5,30,0,125000000
888,1.0,312,312,0,0,0
889,0.004705882352941176,425,2,34,15625000,15625000
890,0.4724220623501199,417,197,14,15625000,15625000
891,0.007194244604316547,398,3,34,0,0
892,0.01627906976744186,404,7,28,0,0
893,0.011737089201877934,426,5,26,0,0
894,0.002551020408163265,390,1,26,15625000,15625000
895,0.8038277511961722,418,336,0,0,0
896,0.175,400,70,16,0,0
897,0.8248847926267281,434,358,2,0,78125000
898,1.0,401,401,0,0,0
899,0.007194244604316547,404,3,34,15625000,15625000
900,0.12655086848635236,402,51,28,0,0
901,0.0024813895781637717,398,1,26,0,0
902,0.014634146341463415,408,6,36,15625000,15625000
903,0.3614457831325301,165,60,14,15625000,15625000
904,1.0,427,427,0,0,0
905,0.1497695852534562,434,65,16,0,125000000
906,1.0,379,379,0,0,0
907,0.3939393939393939,429,169,14,0,0
908,0.3975609756097561,405,163,10,15625000,15625000
909,0.0049504950495049506,404,2,30,0,0
910,1.0,414,414,0,15625000,15625000
911,0.024330900243309004,411,10,34,0,0
912,0.48370927318295737,399,193,8,0,0
913,0.0049504950495049506,404,2,30,0,0
914,0.05411764705882353,425,23,32,15625000,15625000
915,0.004629629629629629,432,2,32,0,0
916,0.12189054726368159,402,49,28,15625000,15625000
917,0.015,314,6,34,0,0
918,1.0,384,384,0,0,0
919,0.012165450121654502,411,5,38,15625000,15625000
920,1.0,427,427,0,0,0
921,1.0,403,403,0,0,0
922,0.7333333333333333,420,308,0,0,0
923,0.10199004975124377,402,41,14,0,0
924,0.026004728132387706,423,11,36,15625000,15625000
925,0.8954703832752613,287,257,0,0,0
926,0.8257839721254355,284,237,2,0,0
927,1.0,379,379,0,0,0
928,1.0,403,403,0,0,125000000
929,0.21391752577319587,388,83,14,0,0
930,0.5233644859813084,424,224,12,0,125000000
931,0.8785046728971962,428,376,0,15625000,15625000
932,0.7783505154639175,384,302,2,0,0
933,0.1591928251121076,446,71,16,0,0
934,0.2694063926940639,438,118,18,0,125000000
935,0.01694915254237288,413,7,28,0,0
936,0.32041343669250644,387,124,16,15625000,15625000
937,0.48699763593380613,423,206,16,0,125000000
938,0.6415094339622641,422,272,2,15625000,15625000
939,0.004608294930875576,434,2,44,0,0
940,1.0,347,347,0,0,0
941,1.0,398,398,0,0,125000000
942,1.0,444,444,0,0,0
943,0.18571428571428572,419,78,26,0,0
944,1.0,384,384,0,15625000,15625000
945,0.8401826484018264,437,368,4,0,0
946,0.5138248847926268,434,223,22,0,0
947,0.0024813895781637717,403,1,28,0,125000000
948,0.44386422976501305,383,170,6,15625000,15625000
949,1.0,437,437,0,0,0
950,0.002638522427440633,379,1,28,0,0
951,0.5421052631578948,380,206,10,0,0
952,1.0,432,432,0,0,0
953,0.8443396226415094,424,358,0,15625000,15625000
954,0.8465227817745803,417,353,0,0,0
955,0.5090497737556561,435,225,8,15625000,15625000
956,0.01179245283018868,424,5,30,0,0
957,0.7593457943925234,428,325,0,15625000,15625000
958,0.36342592592592593,428,157,16,15625000,15625000
959,1.0,401,401,0,0,15625000
960,1.0,434,434,0,0,0
961,0.010178117048346057,344,4,22,0,0
962,1.0,428,428,0,0,0
963,0.0022988505747126436,372,1,26,0,125000000
964,1.0,401,401,0,0,0
965,0.6380090497737556,442,282,6,15625000,15625000
966,0.009868421052631578,259,3,32,15625000,15625000
967,0.8564476885644768,411,352,0,0,0
968,0.6216867469879518,401,258,0,0,0
969,0.009070294784580499,435,4,24,0,0
970,0.43529411764705883,425,185,12,15625000,15625000
971,0.00468384074941452,427,2,36,0,0
972,1.0,433,433,0,0,0
973,0.3333333333333333,413,139,18,0,0
974,0.24249422632794457,433,105,26,15625000,15625000
975,0.12935323383084577,402,52,28,0,0
976,0.002403846153846154,416,1,26,15625000,15625000
977,0.4666666666666667,420,196,8,0,0
978,1.0,428,428,0,15625000,15625000
979,0.6167979002624672,381,235,2,15625000,15625000
980,0.2669902912621359,408,110,8,0,0
981,0.4262295081967213,427,182,6,0,0
982,0.004640371229698376,430,2,36,15625000,15625000
983,0.0,402,0,34,0,0
984,0.3476190476190476,420,146,20,0,0
985,0.8349282296650717,418,349,0,0,0
986,0.0024449877750611247,404,1,32,0,0
987,0.7594339622641509,424,322,0,0,0
988,1.0,429,429,0,0,0
989,1.0,425,425,0,0,0
990,0.011337868480725623,440,5,24,0,0
991,0.5480769230769231,416,228,14,0,109375000
992,1.0,419,419,0,0,0
993,0.4519230769230769,413,188,12,0,0
